Sr No.,Name of Works RD,Type Remod/Ext.,CCA,GCA,JE,Current Status,Completion Date as per HEWP Agreement,Agreement No. & Agreement Date,Agency Name.Mobile.Number,Maximum Length to be lined (CCAx40),Already Lined Length,Balance Length,APPROVED LENGTH,CONSTRUCTED LENGTH,Current Financial Status,Current Physical Status,Name of Village,Consitiuency,Name of Block,District,A/A Amount,Agreement Amount,Total Bill amount Received,Last Bill amount,Last Bill Date,Date on which Time extension is required,Date of Final Bill,Date of defect Liability Period,Dia of Pipe,BW,FSD,Number Of Hodi In Estimate,Number Of Hodi Constructed,Number Of Nakka In Estimate,Number Of Nakka constructed,Number Of culvert in Estimate,Number Of Culvert Constructed,Name of WUA,Contact WUA,New column
1,13728-R Kheri Saffa Minor,REMODELLING,203,213,Sunil Kumar/Anil Hans,COMPLETED AT SITE,,,"THE PARBHU CO-OP ANAND 7015512673",8120,8168,0,8168,7872,96.37%,,Palwan,UCHANA,UCHANA,JIND,9950000,,,,,work has final,,,1.9,0.625,-,-,49,,8,,CANAL JAL SAMITI RD MOGA 13728-R KHERI SAFFA MINOR,"9416061607 SUBER, 9467241602 RAJENDER",
2,33570-L Barsola Minor,REMODELLING,598,869,Sunil Kumar/Anil Hans,COMPLETED AT SITE,7/4/2023,"No. 22 Dated 07/07/2022","VISHNU CONT. 9812076632",23920,22466,1454,22466,22466,#DIV/0!,,Karsindhu,UCHANA,UCHANA,JIND,11850000,,,,,,,2.7,0.875,-,-,135,165,22,27,CANAL JAL SAMITI RD MOGA 33570-L BARSOLA MINOR,"9467309590 radha, 9467682631 roshan",
3,12850-L Surbura Disty,REMODELLING,382.31,445.16,Sunil Kumar/Anil Hans,COMPLETED AT SITE,7/4/2023,"No. 28 Dated 20/07/2022","VISHNU CONT. 9812076632",15292,7402,7890,7402,7177,96.96%,,Kakrod,UCHANA,UCHANA,JIND,7650000,,3357713,3343554,15.09.2023,,,,400,-,-,12,11,48,48,-,-,CANAL JAL SAMITI RD MOGA 12850-L SURBRA DISTY.,,
4,79630-R.Dhamtan.Disty,REMODELLING,691,636,Sunil Kumar,"Length has completed at site But lid pannel work pending",20/08/2024,"No. 142 Dated 13/02/2024","GB TRADERS PARTH 9992089780",27640,6798,17289,10351,6798,65.67%,,"Ujhana,Nepewala",NARWANA,NARWANA,JIND,12650000,4871497,3765466,478191,6/8/2024,20/08/2024,,,500,-,-,16,11,67,53,-,-,CANAL JAL SAMITI RD MOGA 13728-R KHERI SAFFA MINOR,9416308949 satbir,
5,13721-L Kheri Saffa Minor,REMODELLING,380,385,Sunil Kumar/Anil Hans,COMPLETED AT SITE,10/7/2023,"No. 42 Dated 10/10/2022","THE PARBHU CO-OP ANAND 7015512673",15200,11164,4036,11164,10664,#DIV/0!,,Palwan,UCHANA,UCHANA,JIND,4100000,,,,,,,1.9,0.875,-,-,67,141,11,12,canaL JAL SAMITI RD MOGA 13721-L KHERI SAFFA MINOR,"9468255234 amit, 9306807103 kala ",
6,149155-L Shudkain disty,REMODELLING,387,467,Sunil kumar,"Length has completed at site But lid pannel work pending",18/11/2024,"No. 141 Dated 13/02/2024","GB TRADERS PARTH 9992089780",15480,13804,1676,16896,13804,79.68%,,Kheri Saffa ,UCHANA,UCHANA,JIND,7750000,7352630,5858902,1265687,8/8/2024,18/11/2024,pending,,400,-,-,30,26,113,84,-,-,CANAL JAL SAMITI RD MOGA 149155-L SUDKAIN DISTY.,9996498410 rammehar,
7,148700-R Shudkain Disty,REMODELLING,374,428,Sunil Kumar,"length has COMPLETED AT SITE only lid pannel work pending",22/01/2025,"No. 186 Dated 11/07/2024","MEOND KALAN VIJAY 9416283563",14960,-,-,11324,-,0.00%,,Ghasso,UCHANA,UCHANA,JIND,7500000,5021082,,,,22/1/2025,,,,2/3/1901,,,24,,108,,,,CANAL JAL SAMITI RD MOGA 148700-R SUDKAIN DISTY.,"9416519208 manoj,9466411942",
8,3186-R NSK Minor,REMODELLING,265,285,Sunil Kumar,COMPLETED AT SITE,20/8/2024,"No. 143 Dated 13/02/2024","GB TRADERS PARTH  9992089780",10600,10682,0,10682,10682,95.57%,,Badanpur,UCHANA,UCHANA,JIND,11900000,4416149,4220423,205314,6/8/2024,final bill submitted,final bill sent ,,350,-,-,22,,74,,-,-,CANAL JAL SAMITI RD MOGA 3186-R NSK MINOR,"umed 8571984555 vikram 9896500000",
9,15500-R 2L Sainthali Minor,REMODELLING,314,368,Sunil Kumar/Anil Hans,COMPLETED AT SITE,21/07/2023,"No. 47 Dated 21/10/2022","THE BHAGWATI CO-OP VIRENDER 8168188380",12560,9130,3430,9130,8430,92.33%,,Surbura,UCHANA,UCHANA,JIND,6350000,,,,,work has final,Final,,2.3,0.625,-,-,55,69,9,8,CANAL JAL SAMITI RD MOGA 15500-R 2-L SAINTHLI MINOR,9466630759 satbir,
10,5500-L Mohalgarh Feeder,REMODELLING,441,562,Sunil Kumar,COMPLETED AT SITE,16/6/2024,"No. 136 Dated 08/12/2023","GB TRADERS PARTH 9992089780",17640,6830,10810,6830,6707,98.20%,,MOHALKHERA,NARWANA,NARWANA,JIND,5350000,3456058,3343274,249748,3/5/2024,final bill submitted,final bill sent ,,450,-,-,18,,51,,-,-,,"9728270756, SATISH",
